NGC5194+3.3+9.1     13 29 53.0 +47 11 52.10  10.18 0.030 0.32 0 0 0 0 0 0
NGC5194+2.5+9.5     13 29 52.9 +47 11 52.49  10.26 0.036 0.32 1 1 0 1 1 0
NGC5194+1.1+19.8    13 29 52.8 +47 12 02.76  20.23 0.073 0.64 0 0 0 0 0 0
NGC5194+0.2+20.2    13 29 52.7 +47 12 03.18  20.59 0.074 0.65 0 0 0 0 0 0
NGC5194-6.9+20.8    13 29 52.0 +47 12 03.76  22.35 0.080 0.70 0 0 0 0 0 0
NGC5194-18.5+13.7   13 29 50.9 +47 11 56.65  24.29 0.088 0.77 0 0 0 0 0 0
NGC5194+19.7+15.0   13 29 54.6 +47 11 58.04  26.38 0.095 0.83 0 0 0 0 0 0
NGC5194+27.2+3.6    13 29 55.4 +47 11 46.57  29.54 0.107 0.93 0 0 0 0 0 0
NGC5194+21.3+19.6   13 29 54.8 +47 12 02.64  30.70 0.111 0.97 0 0 0 0 0 0
NGC5194+30.2+2.2    13 29 55.7 +47 11 45.24  32.56 0.118 1.03 1 1 0 1 1 1
NGC5194-27.9-18.1   13 29 50.0 +47 11 24.91  35.33 0.128 1.11 0 0 0 0 0 0
NGC5194+16.3+30.8   13 29 54.3 +47 12 13.81  36.09 0.130 1.14 0 0 0 0 0 0
NGC5194+17.7+30.2   13 29 54.4 +47 12 13.20  36.32 0.131 1.14 0 0 0 0 0 0
NGC5194+4.1+56.5    13 29 53.1 +47 12 39.54  57.26 0.207 1.80 0 0 0 0 0 0
NGC5194-4.3+63.3    13 29 52.3 +47 12 46.34  63.91 0.231 2.01 0 1 0 1 0 1
NGC5194-33.2+58.0   13 29 49.4 +47 12 40.96  67.95 0.246 2.14 0 1 0 1 1 1
NGC5194+42.7-55.8   13 29 56.9 +47 10 47.18  71.26 0.258 2.25 0 0 0 0 0 0
NGC5194+62.7-36.9   13 29 58.8 +47 11 06.11  75.99 0.275 2.39 0 0 0 0 0 0
NGC5194-65.0+30.5   13 29 46.3 +47 12 13.52  76.12 0.275 2.40 0 0 0 0 0 0
NGC5194-62.2+50.3   13 29 46.6 +47 12 33.26  83.28 0.300 2.62 0 1 0 1 0 0
NGC5194+75.5-28.7   13 30 00.1 +47 11 14.29  85.39 0.309 2.69 0 0 1 1 0 0
NGC5194+81.9-5.4    13 30 00.7 +47 11 37.54  88.17 0.318 2.78 0 0 0 0 0 0
NGC5194+93.6+5.9    13 30 01.9 +47 11 48.91 100.95 0.365 3.18 0 0 0 0 0 0
NGC5194-96.5-4.5    13 29 43.2 +47 11 38.49 104.25 0.377 3.29 0 0 0 0 0 0
NGC5194+96.1+16.8   13 30 02.1 +47 11 59.77 105.13 0.379 3.31 0 1 0 1 0 0
NGC5194-98.9-52.8   13 29 43.0 +47 10 50.18 119.88 0.433 3.78 0 0 0 0 0 0
NGC5194+91.0+69.0   13 30 01.6 +47 12 52.00 121.24 0.438 3.82 0 1 1 1 0 0
NGC5194+83.6+82.0   13 30 00.9 +47 13 05.02 123.35 0.445 3.89 0 0 0 0 0 0
NGC5194-110.3-31.3  13 29 41.9 +47 11 11.68 123.56 0.446 3.89 0 0 0 0 0 0
NGC5194-86.5-79.4   13 29 44.2 +47 10 23.58 123.57 0.446 3.89 0 1 1 1 0 1
NGC5194-22.5+122.8  13 29 50.5 +47 13 45.84 125.29 0.452 3.95 0 1 0 0 0 0
NGC5194+112.7+37.7  13 30 03.8 +47 12 20.62 127.83 0.462 4.03 0 1 0 0 1 0
NGC5194+76.6+96.3   13 30 00.2 +47 13 19.25 128.39 0.463 4.05 0 1 0 1 1 0
NGC5194-97.0-78.4   13 29 43.2 +47 10 24.55 131.92 0.476 4.16 0 0 1 1 0 0
NGC5194-3.0+131.9   13 29 52.4 +47 13 54.85 132.42 0.478 4.17 0 1 1 1 1 1
NGC5194-57.2+118.2  13 29 47.1 +47 13 41.22 132.75 0.479 4.18 0 1 1 1 1 0
NGC5194-78.9+107.4  13 29 45.0 +47 13 30.42 136.07 0.491 4.29 0 1 0 0 1 0
NGC5194-82.0-102.7  13 29 44.6 +47 10 00.24 136.82 0.493 4.31 0 1 0 1 0 0
NGC5194-59.0-121.4  13 29 46.9 +47 09 41.63 138.07 0.498 4.35 0 0 0 0 0 0
NGC5194-60.0-121.3  13 29 46.8 +47 09 41.65 138.54 0.501 4.37 0 0 0 0 0 0
NGC5194+77.5+108.4  13 30 00.3 +47 13 31.43 138.59 0.501 4.37 0 0 0 0 0 0
NGC5194+12.0-140.7  13 29 53.9 +47 09 22.28 140.87 0.509 4.44 0 0 0 0 0 0
NGC5194-66.6+122.9  13 29 46.2 +47 13 45.87 141.56 0.512 4.46 0 1 1 1 1 1
NGC5194+13.3-141.3  13 29 54.0 +47 09 21.69 141.56 0.512 4.46 0 0 0 0 0 0
NGC5194-129.7+28.3  13 29 40.0 +47 12 11.25 142.14 0.513 4.48 0 0 0 0 0 0
NGC5194+56.8+126.5  13 29 58.3 +47 13 49.52 142.17 0.513 4.48 0 1 0 1 0 0
NGC5194+30.8+139.0  13 29 55.7 +47 14 02.03 144.16 0.520 4.54 0 1 1 1 1 1
NGC5194+65.0+127.7  13 29 59.1 +47 13 50.71 147.34 0.532 4.64 0 0 0 0 0 0
NGC5194+104.1-105.5 13 30 02.9 +47 09 57.48 152.09 0.549 4.79 0 1 1 1 0 1
NGC5194+92.3-118.5  13 30 01.7 +47 09 44.50 152.83 0.552 4.82 0 0 0 0 0 0
NGC5194+98.1-113.8  13 30 02.3 +47 09 49.18 153.39 0.554 4.83 0 1 1 1 1 1
NGC5194+146.4-6.7   13 30 07.1 +47 11 36.29 157.51 0.569 4.96 0 0 0 0 0 0
NGC5194+71.2+135.9  13 29 59.7 +47 13 58.87 157.89 0.570 4.98 0 1 1 1 0 1
NGC5194+83.4-133.1  13 30 00.9 +47 09 29.86 158.81 0.574 5.00 0 1 1 1 1 1
NGC5194+147.7-7.6   13 30 07.2 +47 11 35.33 158.94 0.574 5.01 0 0 0 0 0 0
NGC5194+63.1-149.7  13 29 58.9 +47 09 13.33 162.88 0.588 5.13 0 0 0 0 0 0
NGC5194+60.2+147.9  13 29 58.6 +47 14 10.86 163.18 0.589 5.14 0 0 0 0 0 0
NGC5194+109.9-121.4 13 30 03.5 +47 09 41.59 167.56 0.605 5.28 0 1 1 1 1 0
NGC5194+112.2-126.6 13 30 03.7 +47 09 36.40 172.95 0.625 5.45 0 1 0 0 1 0
NGC5194+150.6+99.0  13 30 07.5 +47 13 21.97 192.00 0.693 6.05 0 1 1 1 1 0
NGC5194-159.5-116.4 13 29 37.0 +47 09 46.50 209.56 0.757 6.60 0 1 1 1 1 0
NGC5194+150.3+152.1 13 30 07.5 +47 14 15.07 224.77 0.812 7.08 0 0 0 1 1 0
NGC5194-135.4-181.4 13 29 39.4 +47 08 41.50 235.20 0.850 7.41 0 1 1 1 1 0
NGC5194+114.5+230.8 13 30 03.9 +47 15 33.79 264.57 0.955 8.34 0 1 1 1 0 0
