species,wavelength_source,rest_wavelength_vacuum_nm,predicted_wavelength_at_M51_nm,observed_feature_nm,wavelength_difference_nm,absolute_wavelength_difference_nm,required_velocity_kms,reference_velocity_kms,velocity_offset_kms,instrument_fwhm_nm,distance_in_fwhm,relative_intensity,Aki_s-1,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,accuracy,line_reference,ranking
C I,Ritz vacuum,1281.750513251221,1284.2057814776215,1284.2613044,-0.05552292237848633,0.05552292237848633,586.6812648110969,573.72,12.96126481109684,1.4015729612572303,0.03961472139750862,nan,3300.0,80782.44916,88584.28,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,D,,excellent
C I,Ritz vacuum,1282.050594745953,1284.5064377960432,1284.2613044,0.24513339604322937,0.24513339604322937,516.5027598729365,573.72,-57.21724012706352,1.4015729612572303,0.1748987764599435,nan,9000.0,81344.05485,89144.03,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,3,D,,strong
C I,Ritz vacuum,1281.4814401777264,1283.9361929788854,1284.2613044,-0.3251114211145705,0.3251114211145705,649.6219089613239,573.72,75.9019089613239,1.4015729612572303,0.23196182439403015,nan,28000.0,80801.28887,88604.76,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,D,,strong
H I,Ritz vacuum,1282.1431958941685,1284.599216327185,1284.2613044,0.3379119271851323,0.3379119271851323,494.84991370032543,573.72,-78.8700862996746,1.4015729612572303,0.24109478173866927,nan,2826300.0,97492.2112,105291.651993,3p,2P*,1/2,5d,2D,3/2,AAA,,strong
H I,Ritz vacuum,1282.144906358689,1284.6009300682006,1284.2613044,0.3396256682005969,0.3396256682005969,494.44997192590904,573.72,-79.27002807409099,1.4015729612572303,0.24231750867678556,nan,1637700.0,97492.221701,105291.65209,3s,2S,1/2,5p,2P*,3/2,AAA,,strong
H I,Ritz vacuum,1282.1466568340757,1284.6026838967255,1284.2613044,0.3413794967254944,0.3413794967254944,494.0406753388238,573.72,-79.67932466117622,1.4015729612572303,0.2435688374148373,nan,301570.0,97492.2112,nan,3p,2P*,1/2,5s,2S,1/2,AAA,,strong
H I,Ritz vacuum,1282.148756404268,1284.6047874887674,1284.2613044,0.3434830887674707,0.3434830887674707,493.5497540527528,573.72,-80.17024594724722,1.4015729612572303,0.2450697168553834,nan,1637800.0,97492.221701,105291.62867,3s,2S,1/2,5p,2P*,1/2,AAA,,strong
H I,Ritz vacuum,1282.1576238124405,1284.61367188298,1284.2613044,0.35236748298007114,0.35236748298007114,491.47638642568535,573.72,-82.24361357431468,1.4015729612572303,0.25140859071938193,32000.0,2200800.0,97492.304,105291.657,3,,,5,,,AAA,L7421,strong
H I,Ritz vacuum,1282.159699376113,1284.6157514225165,1284.2613044,0.35444702251652416,0.35444702251652416,490.99108247463727,573.72,-82.72891752536276,1.4015729612572303,0.25289230908006405,nan,4239400.0,97492.319433,nan,3d,2D,3/2,5f,2F*,5/2,AAA,,strong
H I,Ritz vacuum,1282.1597353858926,1284.615787501275,1284.2613044,0.35448310127503646,0.35448310127503646,490.9826627502458,573.72,-82.7373372497542,1.4015729612572303,0.2529180507000222,nan,3391500.0,97492.319611,nan,3p,2P*,3/2,5d,2D,5/2,AAA,,strong
