pa_beta_velocity_kms,ci_velocity_kms,chi2
250.0,250.0,230927.6323073459
250.0,255.0,226385.18120123478
250.0,260.0,221606.72865619656
250.0,265.0,216594.3473401928
250.0,270.0,211351.4841018521
250.0,275.0,205883.02324830805
250.0,280.0,200195.33705152554
250.0,285.0,194296.32200168964
250.0,290.0,188195.41975370407
250.0,295.0,181903.622210021
250.0,300.0,175433.46070546214
250.0,305.0,168798.97978029185
250.0,310.0,162015.69650882753
250.0,315.0,155100.54674836464
250.0,320.0,148071.81996721865
250.0,325.0,140949.08446609008
250.0,330.0,133753.1048236054
250.0,335.0,126505.7532515157
250.0,340.0,119229.91627992812
250.0,345.0,111949.39779625119
250.0,350.0,104688.81900000783
250.0,355.0,97473.51531953184
250.0,360.0,90329.42984371544
250.0,365.0,83283.0023711204
250.0,370.0,76361.05283314512
250.0,375.0,69590.65764287251
250.0,380.0,62999.017476281704
250.0,385.0,56613.31513698341
250.0,390.0,50460.56248819047
250.0,395.0,44567.43593679432
250.0,400.0,38960.10061511049
250.0,405.0,33664.02416779631
250.0,410.0,28703.78188057326
250.0,415.0,24102.855711241406
250.0,420.0,19883.430551286165
250.0,425.0,16066.191690464593
250.0,430.0,12670.127920254892
250.0,435.0,9712.344958574331
250.0,440.0,7207.8938697764215
250.0,445.0,5169.618883505677
250.0,450.0,3608.028496935757
250.0,455.0,2531.1929972296734
250.0,460.0,1944.6706247274162
250.0,465.0,1851.4635642114747
250.0,470.0,2053.755694189718
250.0,475.0,2222.9052998974935
250.0,480.0,2347.4688287335666
250.0,485.0,2422.6831423584963
250.0,490.0,2445.9495615828696
250.0,495.0,2416.8722405476587
250.0,500.0,2337.2876479047936
250.0,505.0,2211.278701775305
250.0,510.0,2045.165007956091
250.0,515.0,1850.7815925512475
250.0,520.0,1943.605588188289
250.0,525.0,2222.3795182972563
250.0,530.0,2469.524256040894
250.0,535.0,2675.284956922744
250.0,540.0,2831.9743603561506
250.0,545.0,2934.0252405457804
250.0,550.0,2978.0378511840613
250.0,555.0,2962.8233322491824
250.0,560.0,2889.440550075897
250.0,565.0,2761.2206780280003
250.0,570.0,2583.7714000102173
250.0,575.0,2364.9512726678327
250.0,580.0,2114.80475052223
250.0,585.0,1856.5089356877065
250.0,590.0,1930.0074111325232
250.0,595.0,2173.5755721584205
250.0,600.0,2381.4904216311893
250.0,605.0,2545.4711600643177
250.0,610.0,2659.334721248527
250.0,615.0,2719.043705279873
250.0,620.0,2722.7499072180804
250.0,625.0,2670.8320493000633
250.0,630.0,2565.923007597166
250.0,635.0,2412.9191273402184
250.0,640.0,2218.962512447687
250.0,645.0,1993.3867290459507
250.0,650.0,1828.7076684770434
250.0,655.0,1956.879850892545
250.0,660.0,2058.7315143010082
250.0,665.0,2114.628739502158
250.0,670.0,2122.679352963287
250.0,675.0,2083.189500928439
250.0,680.0,1998.6862752260613
250.0,685.0,1873.922153988993
250.0,690.0,1866.5692817899917
250.0,695.0,1924.8699830799455
250.0,700.0,1938.183514161003
250.0,705.0,1906.600470828282
250.0,710.0,1832.8559745878306
250.0,715.0,2007.2340763528205
250.0,720.0,2674.527723821712
250.0,725.0,3831.24557530133
250.0,730.0,5459.486422967536
250.0,735.0,7494.228008783587
250.0,740.0,9924.404434044203
250.0,745.0,12745.445732618231
250.0,750.0,15950.783703008867
250.0,755.0,19531.882601281748
250.0,760.0,23478.282845873306
