species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
Cs II,Cs,2,1270.0492,0.0003,1270.04921,0.00024,1270.3966299170274,1270.3966399197438,1500.0,nan,,166591.8501,174463.4074,5p5.(2P*<3/2>).5f,2[5/2],3,5p5.(2P*<3/2>).6g,2[5/2]*,3,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1270.2281,nan,1270.228,nan,1270.5755785119363,1270.5754784847732,150.0,7100000.0,D,107496.4166,115366.866,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,nan,nan,1270.34348,0.00011,nan,1270.6909898528263,nan,0.0036,C+,977.0498,8846.7837,3d6.(5D).4s,a 6D,1/2,3d6.(5D).4s,a 4D,1/2,M1,T8961,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1270.5705,0.0002,1270.57208,0.00018,1270.9180715187636,1270.9196519479426,11.0,11000.0,D,54283.236,62151.554,3d5.4s2,b 4G,7/2,3d6.(3F2).4p,y 4F*,5/2,,T6892c83,L18349c145,NIST ASD,m51_nist_1270_1300_raw.csv
S II,S,2,nan,nan,1270.62,0.006,nan,1270.9675849645669,nan,2390000.0,C+,130641.154,138509.175,3s2.3p2.(3P).4p,2D*,3/2,3s2.3p2.(1D).3d,2F,5/2,,T3186c85,,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1270.8899,nan,nan,1271.237558278216,nan,2600000.0,C+,96787.68,104654.03,2s2.2p2.(3P).3p,2D*,3/2,2s2.2p2.(3P).3d,2P,1/2,,T7370,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1271.0,0.3,nan,1271.347688185002,nan,24000.0,D,80782.44916,88648.4,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).7d,2[1/2]*,0,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1271.12375,6e-05,1271.12361,0.00013,1271.4714717995996,1271.471331761571,28.0,nan,,107165.76,115030.664,3d6.(5D).6p,4F*,7/2,3d6.(3D).4d,4F,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1271.1679,nan,nan,1271.5156337922074,nan,67000.0,C+,96750.84,104615.47,2s2.2p2.(3P).3p,4S*,3/2,2s2.2p2.(3P).3d,2P,3/2,,T7370,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1271.2,0.03,nan,1271.5477425116364,nan,6000.0,D,80782.44916,88646.9,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).7d,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1271.262,0.002,1271.25877,6e-05,1271.6097593529055,1271.6065284755296,0.0386,nan,,195866.8503,203730.9181,3s2.3p4.(1D).5s,2D,3/2,3s2.3p4.(3P).6p,2P*,3/2,,,L13470,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1271.63,nan,nan,1271.9778593141093,nan,140000.0,C+,112294.007,120155.8,2s2.2p2.(1D).3p,2P*,1/2,2s2.2p2.(1D).3d,2D,3/2,,T5714,,NIST ASD,m51_nist_1270_1300_raw.csv
O III,O,3,nan,nan,1271.771,nan,nan,1272.118897614517,nan,31400.0,C+,366802.62,374663.52,2s2.2p.(2P*).4p,3D,3,2s.2p2.(4P).3p,3D*,2,,T5376LS,,NIST ASD,m51_nist_1270_1300_raw.csv
S II,S,2,nan,nan,1271.87,0.04,nan,1272.2179245063112,nan,4660000.0,D,150258.51,158118.77,3s2.3p2.(3P).5s,4P,1/2,3s2.3p2.(3P).5p,4S*,3/2,,"u20,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1271.8797,0.0002,1271.87984,0.00023,1272.2276271411645,1272.2277671791935,23.0,nan,,163012.6247,170872.8524,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,2s2.2p5.(2P*<3/2>).6d,2[5/2]*,2,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
