Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
5000.0,100.0,1.86325967,3.352378,0.103204,1.48911833,5.71343197,2.0604464,2.6981454,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.40925838,6.008382,0.299561813,2.2372027972027975,0.028181818181818183,3.476229172797203,123.35006742183623
5000.0,1000.0,1.85891544,3.352378,0.103204,1.49346256,5.73613854,2.06863512,2.70886848,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.43196495,6.03108858,0.299561813,2.2372027972027975,0.028181818181818183,3.4989357427972023,124.1557844218362
5000.0,10000.0,1.85059578,3.352378,0.103204,1.50178222,5.77977255,2.08437094,2.72947447,3.352378,0.0,0.0,positive_Av,5.47559896,6.07472259,0.299561813,2.2372027972027975,0.028181818181818183,3.542569752797202,125.70408800248137
5000.0,100000.0,1.83691183,3.352378,0.103204,1.51546617,5.85196907,2.11040731,2.76356899,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.54779548,6.1469191,0.299561813,2.2372027972027975,0.028181818181818183,3.6147662727972025,128.26590000248137
5000.0,1000000.0,1.81628013,3.352378,0.103204,1.53609787,5.96184508,2.15003212,2.81545749,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,5.65767149,6.25679511,0.299561813,2.2372027972027975,0.028181818181818183,3.7246422827972023,132.1647261637717
5000.0,10000000.0,1.77301162,3.352378,0.103204,1.57936638,6.19638667,2.23461532,2.92621882,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.89221307,6.4913367,0.299561813,2.2372027972027975,0.028181818181818183,3.9591838727972024,140.48716967990072
5000.0,100000000.0,1.67550767,3.352378,0.103204,1.67687033,6.74661249,2.43304435,3.18606076,3.352378,0.0,0.0,positive_Av,6.44243889,7.04156252,0.299561813,2.2372027972027975,0.028181818181818183,4.5094096927972025,160.01131167990073
5000.0,1000000000.0,1.5962291,3.352378,0.103204,1.7561489,7.2181303,2.60308877,3.40873316,3.352378,0.0,0.0,positive_Av,6.9139567,7.51308033,0.299561813,2.2372027972027975,0.028181818181818183,4.980927502797202,176.742588808933
5000.0,10000000000.0,1.48699575,3.352378,0.103204,1.86538225,7.90768303,2.85176355,3.73437168,3.352378,0.0,0.0,positive_Av,7.60350944,8.20263307,0.299561813,2.2372027972027975,0.028181818181818183,5.670480232797203,201.2105889057072
5000.0,100000000000.0,1.28589947,3.352378,0.103204,2.06647853,9.32109694,3.36148583,4.40185075,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,9.01692335,9.61604697,0.299561813,2.2372027972027975,0.028181818181818183,7.083894142797202,251.36398571215878
5000.0,1000000000000.0,1.65558397,3.352378,0.103204,1.69679403,6.86297795,2.47500946,3.24101389,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.55880436,7.15792799,0.299561813,2.2372027972027975,0.028181818181818183,4.625775152797203,164.1404086476427
5000.0,10000000000000.0,2.20702268,3.352378,0.103204,1.14535532,4.06638474,1.46646846,1.92033393,3.352378,0.0,0.0,positive_Av,3.76221114,4.36133477,0.299561813,2.2372027972027975,0.028181818181818183,1.8291819427972027,64.90645603473945
5000.0,100000000000000.0,2.38739377,3.352378,0.103204,0.964984232,3.30220506,1.19088081,1.55945313,3.352378,0.0,0.0,positive_Av,2.99803146,3.59715509,0.299561813,2.2372027972027975,0.028181818181818183,1.0650022627972024,37.79040287344912
7500.0,100.0,1.82737694,3.352378,0.103204,1.52500106,5.90259381,2.12866421,2.78747632,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.59842021,6.19754384,0.299561813,2.2372027972027975,0.028181818181818183,3.6653910127972025,130.06226174441684
7500.0,1000.0,1.82479784,3.352378,0.103204,1.52758016,5.91633269,2.13361889,2.79396445,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.6121591,6.21128273,0.299561813,2.2372027972027975,0.028181818181818183,3.6791298927972025,130.54977038957816
7500.0,10000.0,1.81952862,3.352378,0.103204,1.53284938,5.94446241,2.14376337,2.80724859,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.64028881,6.23941244,0.299561813,2.2372027972027975,0.028181818181818183,3.7072596127972024,131.54792174441687
7500.0,100000.0,1.8102288,3.352378,0.103204,1.5421492,5.99430876,2.16173956,2.83078834,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.69013517,6.2892588,0.299561813,2.2372027972027975,0.028181818181818183,3.7571059627972025,133.31666319602977
7500.0,1000000.0,1.79488904,3.352378,0.103204,1.55748896,6.07709106,2.1915935,2.86988195,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,5.77291747,6.37204109,0.299561813,2.2372027972027975,0.028181818181818183,3.8398882627972024,136.25409964764265
7500.0,10000000.0,1.76604278,3.352378,0.103204,1.58633522,6.23469641,2.24843104,2.94431044,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.93052282,6.52964645,0.299561813,2.2372027972027975,0.028181818181818183,3.9974936127972023,141.84654755086845
7500.0,100000000.0,1.68571429,3.352378,0.103204,1.66666371,6.68753505,2.41173914,3.15816168,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.38336145,6.98248508,0.299561813,2.2372027972027975,0.028181818181818183,4.450332252797203,157.91501542183624
7500.0,1000000000.0,1.62379055,3.352378,0.103204,1.72858745,7.05160132,2.54303309,3.33009052,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.74742772,7.34655135,0.299561813,2.2372027972027975,0.028181818181818183,4.814398522797202,170.83349597022328
7500.0,10000000000.0,1.53563218,3.352378,0.103204,1.81674582,7.59460678,2.73885823,3.58652267,3.352378,0.0,0.0,positive_Av,7.29043319,7.88955681,0.299561813,2.2372027972027975,0.028181818181818183,5.357403982797203,190.1014316476427
7500.0,100000000000.0,1.36381997,3.352378,0.103204,1.98855803,8.74881148,3.15510138,4.13159123,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,8.44463789,9.04376152,0.299561813,2.2372027972027975,0.028181818181818183,6.511608682797203,231.05708229280395
7500.0,1000000000000.0,1.66719088,3.352378,0.103204,1.68518712,6.79501802,2.45050094,3.20892008,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.49084442,7.08996805,0.299561813,2.2372027972027975,0.028181818181818183,4.557815222797203,161.7289272605459
7500.0,10000000000000.0,2.03075292,3.352378,0.103204,1.32162508,4.87608849,1.75847354,2.30271329,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,4.5719149,5.17103852,0.299561813,2.2372027972027975,0.028181818181818183,2.6388856927972024,93.63787942183622
7500.0,100000000000000.0,2.13395639,3.352378,0.103204,1.21842161,4.39388076,1.58457401,2.07499261,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,4.08970717,4.68883079,0.299561813,2.2372027972027975,0.028181818181818183,2.1566779627972026,76.52728255086848
10000.0,100.0,1.80483438,3.352378,0.103204,1.54754362,6.02333998,2.17220914,2.84449821,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.71916638,6.31829001,0.299561813,2.2372027972027975,0.028181818181818183,3.786137182797203,134.3468032605459
10000.0,1000.0,1.80304387,3.352378,0.103204,1.54933413,6.03299516,2.17569111,2.84905783,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.72882157,6.3279452,0.299561813,2.2372027972027975,0.028181818181818183,3.795792362797202,134.6894064218362
10000.0,10000.0,1.79946285,3.352378,0.103204,1.55291515,6.05233433,2.18266543,2.85819068,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.74816074,6.34728436,0.299561813,2.2372027972027975,0.028181818181818183,3.8151315327972024,135.37563503473945
