line,wavelength_nm,flux,flux_error,model,residual,continuum
Pa-beta,1278.1420342216734,0.006732772773186228,1.718635906342347e-05,0.006742205418540158,-9.43264535392934e-06,0.006742205418540158
Pa-beta,1278.7780342332553,0.006706510606976275,1.7430269141332225e-05,0.006738635674758685,-3.212506778240993e-05,0.006738635674758685
Pa-beta,1279.4140342448372,0.006744614840864423,1.91182073679966e-05,0.006735065930977246,9.548909887176736e-06,0.006735065930977214
Pa-beta,1280.0500342564192,0.006762173365860424,1.65670997262073e-05,0.006731496187303754,3.0677178556670105e-05,0.006731496187195742
Pa-beta,1280.686034268001,0.006864921979360641,1.6398736530500158e-05,0.006727926560674599,0.00013699541868604156,0.006727926443414271
Pa-beta,1281.322034279583,0.006950648934997851,1.648819735955942e-05,0.006724397338541592,0.00022625159645625875,0.006724356699632799
Pa-beta,1281.958034291165,0.006830099856234422,1.6461729008303506e-05,0.0067252831508548385,0.0001048167053795835,0.006720786955851327
Pa-beta,1282.5940343027469,0.0067533967364936985,1.7041802715826353e-05,0.00687602083586014,-0.0001226240993664413,0.006717217212069856
Pa-beta,1283.2300343143288,0.008015855815581443,1.7275266972567913e-05,0.008504203218449562,-0.0004883474028681192,0.0067136474682883834
Pa-beta,1283.8660343259107,0.013288079446569458,1.8111148778713345e-05,0.013155145014305071,0.00013293443226438696,0.006710077724506912
Pa-beta,1284.5020343374927,0.014271865442832907,1.8054622430673636e-05,0.014112431684070656,0.00015943375876225144,0.0067065079807254405
Pa-beta,1285.1380343490746,0.009113449291907825,1.6557379735031804e-05,0.00941964760575645,-0.00030619831384862475,0.006702938236943968
Pa-beta,1285.7740343606565,0.0068570831685952046,1.5716695954594135e-05,0.00701750924025103,-0.00016042607165582534,0.006699368493162497
Pa-beta,1286.4100343722384,0.006749394078724315,1.6009360951160442e-05,0.006707692192009875,4.170188671443961e-05,0.006695798749381025
Pa-beta,1287.0460343838204,0.006701407057467458,1.6263281843401082e-05,0.006692370946657087,9.036110810370888e-06,0.006692229005599553
Pa-beta,1287.6820343954023,0.00677629906523841,1.6522160543486168e-05,0.00668865980259813,8.763926264027978e-05,0.0066886592618180815
Pa-beta,1288.3180344069842,0.006799410013270432,1.6871551104906503e-05,0.006685089518694337,0.00011432049457609558,0.00668508951803661
Pa-beta,1288.9540344185662,0.0067202825159420315,1.7158647336467315e-05,0.006681519774255394,3.87627416866378e-05,0.006681519774255139
Pa-beta,1289.590034430148,0.006719819880613653,1.6667735430389233e-05,0.006677950030473666,4.186985013998699e-05,0.006677950030473666
Pa-gamma,1090.5220308050048,0.0054578238674496534,1.5284111948275297e-05,0.00559244369622282,-0.0001346198287731663,0.00559244369622282
Pa-gamma,1091.1580308165867,0.005537691080035933,1.4918074702629345e-05,0.005578671521897382,-4.0980441861449696e-05,0.005578671521897382
Pa-gamma,1091.7940308281686,0.005616882889527949,1.4587859934870946e-05,0.005564899347572184,5.1983541955765225e-05,0.005564899347571944
Pa-gamma,1092.4300308397505,0.005638519481406658,1.460980428621146e-05,0.005551127174412676,8.739230699398269e-05,0.005551127173246507
Pa-gamma,1093.0660308513325,0.0056421152551529245,1.4895603096756602e-05,0.005537356389601075,0.00010475886555184975,0.005537354998921069
Pa-gamma,1093.7020308629144,0.005599599797700448,1.4906794481364644e-05,0.005523988869245689,7.561092845475865e-05,0.005523582824595631
Pa-gamma,1094.3380308744963,0.005480179680236404,1.4846772988859324e-05,0.0055388375902090045,-5.86579099726009e-05,0.005509810650270193
Pa-gamma,1094.9740308860783,0.005977359102517996,1.589314862929655e-05,0.006004092149135588,-2.6733046617592737e-05,0.005496038475944756
Pa-gamma,1095.6100308976602,0.007684270029410795,1.637028856708115e-05,0.007659468763283326,2.4801266127468663e-05,0.005482266301619318
Pa-gamma,1096.246030909242,0.007730414267727044,1.5760894396026745e-05,0.0077528771162875265,-2.24628485604823e-05,0.00546849412729388
Pa-gamma,1096.882030920824,0.006065644403769741,1.5170352059047214e-05,0.006041562209103705,2.4082194666035818e-05,0.005454721952968443
Pa-gamma,1097.518030932406,0.00552334887463886,1.805160318080317e-05,0.005477860434166197,4.548844047266246e-05,0.005440949778643005
Pa-gamma,1098.154030943988,0.005376184367481969,1.5299366999763848e-05,0.0054277460179670035,-5.156165048503421e-05,0.005427177604317567
Pa-gamma,1098.7900309555698,0.005340827798913057,1.495394819616072e-05,0.005413407573169514,-7.257977425645726e-05,0.005413405429992129
Pa-gamma,1099.4260309671517,0.005289428776928094,1.4789204674995609e-05,0.005399633257645176,-0.00011020448071708249,0.005399633255666692
Pa-gamma,1100.0620309787337,0.005341673191592032,1.569825344005103e-05,0.005385861081341701,-4.4187889749669126e-05,0.005385861081341254
Pa-gamma,1100.6980309903156,0.005391326798785245,1.8524257512478722e-05,0.005372088907015816,1.923789176942834e-05,0.005372088907015816
Pa-gamma,1101.3340310018975,0.00544348112426699,1.8944848029316146e-05,0.005358316732690378,8.516439157661183e-05,0.005358316732690378
Pa-gamma,1101.9700310134795,0.005439804282084152,1.6391360578472956e-05,0.005344544558364941,9.525972371921161e-05,0.005344544558364941
