Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty
5.00000000e+03,1.00000000e+02,1.86325967e+00,3.35237800e+00,1.03204000e-01,1.48911833e+00,5.71343197e+00,2.06044640e+00,2.69814540e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,5.40925838e+00,6.00838200e+00,2.99561813e-01
5.00000000e+03,1.00000000e+03,1.85891544e+00,3.35237800e+00,1.03204000e-01,1.49346256e+00,5.73613854e+00,2.06863512e+00,2.70886848e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.43196495e+00,6.03108858e+00,2.99561813e-01
5.00000000e+03,1.00000000e+04,1.85059578e+00,3.35237800e+00,1.03204000e-01,1.50178222e+00,5.77977255e+00,2.08437094e+00,2.72947447e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,5.47559896e+00,6.07472259e+00,2.99561813e-01
5.00000000e+03,1.00000000e+05,1.83691183e+00,3.35237800e+00,1.03204000e-01,1.51546617e+00,5.85196907e+00,2.11040731e+00,2.76356899e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.54779548e+00,6.14691910e+00,2.99561813e-01
5.00000000e+03,1.00000000e+06,1.81628013e+00,3.35237800e+00,1.03204000e-01,1.53609787e+00,5.96184508e+00,2.15003212e+00,2.81545749e+00,3.35237800e+00,-8.88178420e-16,-8.60604647e-15,positive_Av,5.65767149e+00,6.25679511e+00,2.99561813e-01
5.00000000e+03,1.00000000e+07,1.77301162e+00,3.35237800e+00,1.03204000e-01,1.57936638e+00,6.19638667e+00,2.23461532e+00,2.92621882e+00,3.35237800e+00,8.88178420e-16,8.60604647e-15,positive_Av,5.89221307e+00,6.49133670e+00,2.99561813e-01
5.00000000e+03,1.00000000e+08,1.67550767e+00,3.35237800e+00,1.03204000e-01,1.67687033e+00,6.74661249e+00,2.43304435e+00,3.18606076e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.44243889e+00,7.04156252e+00,2.99561813e-01
5.00000000e+03,1.00000000e+09,1.59622910e+00,3.35237800e+00,1.03204000e-01,1.75614890e+00,7.21813030e+00,2.60308877e+00,3.40873316e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,6.91395670e+00,7.51308033e+00,2.99561813e-01
5.00000000e+03,1.00000000e+10,1.48699575e+00,3.35237800e+00,1.03204000e-01,1.86538225e+00,7.90768303e+00,2.85176355e+00,3.73437168e+00,3.35237800e+00,0.00000000e+00,0.00000000e+00,positive_Av,7.60350944e+00,8.20263307e+00,2.99561813e-01
5.00000000e+03,1.00000000e+11,1.28589947e+00,3.35237800e+00,1.03204000e-01,2.06647853e+00,9.32109694e+00,3.36148583e+00,4.40185075e+00,3.35237800e+00,4.44089210e-16,4.30302323e-15,positive_Av,9.01692335e+00,9.61604697e+00,2.99561813e-01
5.00000000e+03,1.00000000e+12,1.65558397e+00,3.35237800e+00,1.03204000e-01,1.69679403e+00,6.86297795e+00,2.47500946e+00,3.24101389e+00,3.35237800e+00,-4.44089210e-16,-4.30302323e-15,positive_Av,6.55880436e+00,7.15792799e+00,2.99561813e-01
