quantity,value
observed_pabeta_flux,0.0119897286
observed_pagamma_flux,0.00357648492
observed_ratio,3.3523777866229616
observed_ratio_sigma,0.10320419740552356
number_temperature_points,7.0
number_density_points,13.0
temperature_min_K,5000.0
temperature_max_K,30000.0
density_min_cm3,100.0
density_max_cm3,100000000000000.0
best_Te_K,15000.0
best_ne_cm3,100000000000000.0
best_log10_ne,14.0
best_A_V,5.550000000000001
best_intrinsic_ratio,1.8948399738732855
best_predicted_ratio,3.3523983490280784
best_difference,2.0562405116830718e-05
best_difference_sigma,0.0001992400080011688
1sigma_count,1091.0
1sigma_Te_min_K,5000.0
1sigma_Te_max_K,30000.0
1sigma_logne_min,2.0
1sigma_logne_max,14.0
1sigma_Av_min,3.0
1sigma_Av_max,9.600000000000001
2sigma_count,2184.0
2sigma_Te_min_K,5000.0
2sigma_Te_max_K,30000.0
2sigma_logne_min,2.0
2sigma_logne_max,14.0
2sigma_Av_min,2.7
2sigma_Av_max,9.9
3sigma_count,3277.0
3sigma_Te_min_K,5000.0
3sigma_Te_max_K,30000.0
3sigma_logne_min,2.0
3sigma_logne_max,14.0
3sigma_Av_min,2.4000000000000004
3sigma_Av_max,10.0
