line,wavelength_nm,observed_flux,error,model_flux,residual
Pa-beta,1275.5980341753454,400.34466910362244,3.7016146484044006,410.43800070680254,-10.093331603180104
Pa-beta,1276.2340341869274,400.052836894989,3.6411529089645334,409.55070237546556,-9.497865480476548
Pa-beta,1276.8700341985093,391.41213846206665,3.5881051432500994,408.6634040441286,-17.251265582061933
Pa-beta,1277.5060342100912,386.68348836898804,3.6807931627947768,407.7761057127916,-21.092617343803568
Pa-beta,1278.1420342216732,405.0366938114166,3.789531540775028,406.8888073814546,-1.852113570038
Pa-beta,1278.778034233255,406.2948725223541,4.100626424623897,406.0015090501174,0.293363472236706
Pa-beta,1279.414034244837,399.14061546325684,3.6461277198014854,405.1142107187825,-5.973595255525652
Pa-beta,1280.050034256419,408.2606313228607,4.176367678946938,404.2269123968435,4.0337189260172295
Pa-beta,1280.6860342680009,428.9493775367737,3.800979905760017,403.3396270615308,25.60975047524289
Pa-beta,1281.3220342795828,442.0973711013794,3.645174638742065,402.4577952214488,39.63957587993059
Pa-beta,1281.9580342911647,432.9086844921112,3.882867772888593,402.26805321227965,30.640631279831553
Pa-beta,1282.5940343027466,421.6071774959564,3.7560294777648378,428.1462148902769,-6.539037394320474
Pa-beta,1283.2300343143286,722.5314841270447,4.110197960984059,726.6136714923455,-4.082187365300797
Pa-beta,1283.8660343259105,1591.4580855369568,5.634142202631161,1583.0665777840918,8.391507752864982
Pa-beta,1284.5020343374924,1703.4554071426392,5.868659574189991,1704.580776312684,-1.1253691700449053
Pa-beta,1285.1380343490744,829.055061340332,4.431839185822108,836.1350717327418,-7.080010392409804
Pa-beta,1285.7740343606563,434.52372908592224,3.6388024296063537,441.16038770931146,-6.6366586233892235
Pa-beta,1286.4100343722382,403.40156960487366,3.743366167631068,396.75355798199735,6.648011622876311
Pa-beta,1287.0460343838201,411.4483642578125,3.780366707497218,394.4799112547771,16.968453003035393
Pa-beta,1287.682034395402,411.3279514312744,3.9426862261774733,393.5793707854263,17.748580645848108
Pa-beta,1288.318034406984,396.831346988678,3.75566090831072,392.69203411382813,4.13931287484985
Pa-beta,1288.954034418566,391.42539954185486,3.6254442767887185,391.8047357487341,-0.37933620687925895
Pa-beta,1289.5900344301479,378.661993265152,3.6326185604243006,390.9174374173881,-12.255444152236123
Pa-beta,1290.2260344417298,373.12057614326477,3.6869393724685935,390.0301390860511,-16.90956294278635
Pa-beta,1290.8620344533117,374.8041524887085,3.7124349801686196,389.14284075471414,-14.338688266005647
Pa-beta,1291.4980344648936,379.8758089542389,3.650844602697428,388.25554242337694,-8.379733469138046
Pa-gamma,1088.614030770259,309.01092767715454,3.7969706017218416,312.16475337855115,-3.153825701396613
Pa-gamma,1089.250030781841,301.68075025081635,3.8760387336041644,312.1252075590866,-10.444457308270273
Pa-gamma,1089.8860307934228,316.98331093788147,3.795640173064575,312.0856617396221,4.897649198259387
Pa-gamma,1090.5220308050048,305.8321282863617,3.7751090548360513,312.04611592015755,-6.213987633795853
Pa-gamma,1091.1580308165867,303.86187982559204,3.8013895088767753,312.006570100693,-8.14469027510097
Pa-gamma,1091.7940308281686,317.6155092716217,4.036783193317065,311.9670242812298,5.648484990391921
Pa-gamma,1092.4300308397505,311.5191023349762,4.087142824183868,311.9274784822313,-0.40837614725512594
Pa-gamma,1093.0660308513325,323.8074440956116,3.6976266198100523,311.8879951265502,11.919448969061364
Pa-gamma,1093.7020308629144,318.82536816596985,3.6707548607714093,311.88565421823216,6.939713947737687
Pa-gamma,1094.3380308744963,312.31527745723724,4.041182484245702,316.15131451491,-3.8360370576727405
Pa-gamma,1094.9740308860783,420.9765000343323,3.933706068901444,410.6234615340487,10.35303850028356
Pa-gamma,1095.6100308976602,737.4927501678467,4.738066567457948,751.3750558880251,-13.882305720178465
Pa-gamma,1096.246030909242,698.1820373535156,4.85186326121727,693.686865162282,4.495172191233678
Pa-gamma,1096.882030920824,407.51028203964233,3.8780325384368344,376.49414408797537,31.016137951666963
Pa-gamma,1097.518030932406,320.3421918153763,14.40745304274279,313.76152952490924,6.580662290467046
Pa-gamma,1098.154030943988,293.5622184276581,4.2687474711099505,311.5854985825332,-18.023280154875124
Pa-gamma,1098.7900309555698,310.2692047357559,4.1457109916507635,311.5320379024937,-1.262833166737778
Pa-gamma,1099.4260309671517,307.0118169784546,3.806447260640089,311.49247445201496,-4.48065747356037
Pa-gamma,1100.0620309787337,305.4989194869995,3.6893585433049885,311.4529286281896,-5.954009141190113
Pa-gamma,1100.6980309903156,293.0943036079407,3.568035024522551,311.4133828087248,-18.31907920078413
Pa-gamma,1101.3340310018975,315.8451159000397,3.727856770646129,311.37383698926027,4.471278910779404
Pa-gamma,1101.9700310134795,322.2260935306549,3.972206460845968,311.33429116979573,10.891802360859174
